code,libelle
ABS,null
702,Aéronef administratif
700,Aéronef impliqué
701,Aéronef militaire
205,Affaires maritimes / CSN
403,Ambassade / consulat
504,Armateur
304,Armée de terre-air
605,Autorité médicale étrangère
430,Autre autorité civile française à terre
730,Autre aéronef
410,CCMM
408,CODIS / SDIS / CTA
419,COGIC
402,Collectivité locale / Mairie
508,Comité de course
507,Compagnie aérienne
506,Compagnie d'assurance
109,CORG / Gendarmerie nationale
418,COZ / Sécurité civile
206,CROSS / MRCC
108,Douane
531,École de voile
302,EPSHOM
509,Famille / Proche
505,Loueur de bateaux
301,Marine nationale
604,MCC COSPAS-SARSAT
601,MRCC
102,Navire administration civile
104,Navire de commerce
105,Navire de pêche
106,Navire de plaisance
103,Navire de sauvetage
100,Navire impliqué
101,Navire Marine nationale
501,Organisme professionnel / Pêcheur
530,Personne impliquée
107,Phares et balises
503,Pilotage
407,Police
406,Port
421,Poste de plage
401,Préfecture terrestre ou maritime
511,Radio-amateur
404,RCC / RSC
602,RCC et RSC
433,SAMU
434,SCMM
303,Sémaphore
540,Service de géolocalisation privée
502,SNSM
603,Station radio-maritime
532,Support de plongée
510,Témoin
